epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8385650515556335,0.0010000000474974513,0.3519271910190582,0.5714285969734192,0.594456136226654
1,0.9237667918205261,0.0010000000474974513,0.1942240595817566,0.6696428656578064,0.5286502242088318
2,0.9618834257125854,0.0010000000474974513,0.10646266490221024,0.7767857313156128,0.4452552795410156
3,0.9820627570152283,0.0010000000474974513,0.05661110207438469,0.8214285969734192,0.35326099395751953
4,0.9843049049377441,0.0010000000474974513,0.05149834603071213,0.8392857313156128,0.32352566719055176
5,0.9932735562324524,0.0010000000474974513,0.030285194516181946,0.9196428656578064,0.2761484980583191
6,0.9977578520774841,0.0010000000474974513,0.02270100824534893,0.9107142686843872,0.24027177691459656
7,0.9977578520774841,0.0010000000474974513,0.01525562908500433,0.9553571343421936,0.1775449514389038
8,1.0,0.0010000000474974513,0.012936864048242569,0.9375,0.1761678159236908
9,1.0,0.0010000000474974513,0.010008393786847591,0.9821428656578064,0.07863602787256241
10,1.0,0.0010000000474974513,0.007818082347512245,0.9821428656578064,0.06489507108926773
11,0.9955157041549683,0.0010000000474974513,0.012400566600263119,0.9464285969734192,0.14496062695980072
12,1.0,0.0010000000474974513,0.011434641666710377,0.9553571343421936,0.09860306978225708
13,1.0,0.0010000000474974513,0.007066662888973951,0.9821428656578064,0.05771782621741295
14,1.0,0.0010000000474974513,0.0057765343226492405,0.9821428656578064,0.0718691274523735
15,1.0,0.0010000000474974513,0.00428251875564456,0.9821428656578064,0.06890763342380524
16,1.0,0.0010000000474974513,0.0029917354695498943,0.9821428656578064,0.06466452032327652
17,1.0,0.0010000000474974513,0.0033827652223408222,0.9821428656578064,0.05754604563117027
18,1.0,0.0010000000474974513,0.003513867035508156,0.9821428656578064,0.054598066955804825
19,1.0,0.0010000000474974513,0.0033863824792206287,0.9821428656578064,0.04251112416386604
20,1.0,0.0010000000474974513,0.0023681125603616238,0.9821428656578064,0.04356808215379715
21,1.0,0.0010000000474974513,0.0024562182370573282,0.9821428656578064,0.04740283265709877
22,1.0,0.0010000000474974513,0.0024964825715869665,0.9821428656578064,0.06855573505163193
23,1.0,0.0010000000474974513,0.0026380466297268867,0.9821428656578064,0.06335579603910446
24,1.0,0.0010000000474974513,0.0016158325597643852,0.9821428656578064,0.12676236033439636
25,1.0,0.0010000000474974513,0.0017075013602152467,0.9821428656578064,0.07532013207674026
26,1.0,0.0010000000474974513,0.0012578105088323355,0.9821428656578064,0.07706166058778763
27,1.0,0.0010000000474974513,0.001173131400719285,0.9821428656578064,0.07655423134565353
28,1.0,0.0010000000474974513,0.0012160432524979115,0.9821428656578064,0.07199124991893768
29,1.0,0.0010000000474974513,0.0010759012075141072,0.9821428656578064,0.07874638587236404
30,1.0,0.0005000000237487257,0.0010173834161832929,0.9821428656578064,0.0664922446012497
31,1.0,0.0005000000237487257,0.0010604665149003267,0.9821428656578064,0.06881896406412125
32,1.0,0.0005000000237487257,0.0011802102671936154,0.9821428656578064,0.06630843132734299
33,1.0,0.0005000000237487257,0.000825245981104672,0.9821428656578064,0.06704492121934891
34,1.0,0.0005000000237487257,0.0006677701021544635,0.9821428656578064,0.064606212079525
35,1.0,0.0005000000237487257,0.0007803702028468251,0.9821428656578064,0.06551723927259445
36,1.0,0.0005000000237487257,0.0009102328331209719,0.9821428656578064,0.05917554348707199
37,1.0,0.0005000000237487257,0.0006786714075133204,0.9821428656578064,0.05204257369041443
38,1.0,0.0005000000237487257,0.0007832468836568296,0.9821428656578064,0.06339150667190552
39,1.0,0.0005000000237487257,0.0006713099428452551,0.9821428656578064,0.0650472566485405
