epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8629213571548462,0.0010000000474974513,0.3302696645259857,0.7232142686843872,0.5780659914016724
1,0.9258427023887634,0.0010000000474974513,0.17855459451675415,0.6160714030265808,0.5421214699745178
2,0.9460673928260803,0.0010000000474974513,0.11414650827646255,0.8214285969734192,0.42332926392555237
3,0.9775280952453613,0.0010000000474974513,0.08247396349906921,0.8035714030265808,0.41112369298934937
4,0.9887640476226807,0.0010000000474974513,0.052916090935468674,0.8214285969734192,0.36849287152290344
5,0.9910112619400024,0.0010000000474974513,0.04355074465274811,0.9375,0.27350544929504395
6,0.9797753095626831,0.0010000000474974513,0.05502776801586151,0.9017857313156128,0.3218531012535095
7,0.9820224642753601,0.0010000000474974513,0.041906021535396576,0.9285714030265808,0.28631189465522766
8,0.9730337262153625,0.0010000000474974513,0.05373535677790642,0.7857142686843872,0.44534629583358765
9,0.9730337262153625,0.0010000000474974513,0.07130487263202667,0.7589285969734192,0.6750497817993164
10,0.9820224642753601,0.0010000000474974513,0.053297583013772964,0.7946428656578064,0.43320581316947937
11,0.9865168333053589,0.0010000000474974513,0.03075125440955162,0.8035714030265808,0.31537553668022156
12,1.0,0.0010000000474974513,0.015943771228194237,0.9285714030265808,0.35672688484191895
13,0.9932584166526794,0.0010000000474974513,0.02321477234363556,0.8571428656578064,0.1975483000278473
14,0.9910112619400024,0.0010000000474974513,0.025899739935994148,0.9553571343421936,0.11563573777675629
15,0.9932584166526794,0.0010000000474974513,0.01944926753640175,0.9375,0.2737160325050354
16,0.9977527856826782,0.0010000000474974513,0.01207577995955944,0.9464285969734192,0.08223354816436768
17,0.9977527856826782,0.0010000000474974513,0.010575992986559868,0.9642857313156128,0.07965664565563202
18,0.9977527856826782,0.0010000000474974513,0.008390569128096104,0.8035714030265808,0.5075905323028564
19,0.9977527856826782,0.0010000000474974513,0.009315835312008858,0.8660714030265808,0.2559431195259094
20,1.0,0.0010000000474974513,0.006985786836594343,0.9375,0.11156701296567917
21,0.9977527856826782,0.0010000000474974513,0.005332024767994881,0.9375,0.1156904324889183
22,1.0,0.0010000000474974513,0.0028239968232810497,0.9642857313156128,0.1144954040646553
23,1.0,0.0010000000474974513,0.002276291372254491,0.9821428656578064,0.08432956039905548
24,1.0,0.0010000000474974513,0.0038110478781163692,0.875,0.21776536107063293
25,1.0,0.0010000000474974513,0.0038959127850830555,0.9464285969734192,0.09764332324266434
26,1.0,0.0010000000474974513,0.004189531318843365,0.8482142686843872,0.4257774353027344
27,1.0,0.0010000000474974513,0.003869683016091585,0.8303571343421936,0.3058629035949707
28,0.9977527856826782,0.0005000000237487257,0.006160244811326265,0.8839285969734192,0.18704865872859955
29,1.0,0.0005000000237487257,0.003662916598841548,0.8839285969734192,0.14595194160938263
30,1.0,0.0005000000237487257,0.0025421539321541786,0.9553571343421936,0.10884679853916168
31,1.0,0.0005000000237487257,0.0022936519235372543,0.9285714030265808,0.12174999713897705
32,1.0,0.0005000000237487257,0.0010690761264413595,0.8928571343421936,0.144709974527359
33,1.0,0.0005000000237487257,0.0016699627740308642,0.8839285969734192,0.22425690293312073
34,1.0,0.0005000000237487257,0.002655558055266738,0.8660714030265808,0.2616860568523407
35,1.0,0.0005000000237487257,0.0016351263038814068,0.8571428656578064,0.2919464111328125
36,1.0,0.0005000000237487257,0.0017604504246264696,0.8660714030265808,0.22682370245456696
37,1.0,0.0005000000237487257,0.0016637567896395922,0.8928571343421936,0.14192381501197815
